Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Indice_Riesgo,Categoria_Riesgo,Delta_Parcial_Final,Promedio_Continuo,Eficiencia_Estudio
S1010,John,Smith,student10@university.com,Female,23,Cs,85.72,83.52,97.43,67.29,76.95,4.59,97.62,58.25,A,13.2,No,Yes,High School,Low,1,4.1,18.34,Bajo,13.91,71.94,4.41
S1011,Omar,Williams,student11@university.com,Female,20,Engineering,77.75,52.14,91.37,52.24,87.85,7.61,90.95,87.58,C,21.3,No,Yes,Master'S,Low,9,7.0,44.27,Medio,39.23,76.78,4.11
S1012,John,Davis,student12@university.com,Male,21,Engineering,55.44,81.39,40.66,65.02,69.11,2.06,70.78,59.06,F,18.1,No,Yes,Master'S,High,8,4.5,42.68,Medio,-40.73,56.38,3.26
S1013,John,Williams,student13@university.com,Male,18,Business,96.61,40.64,93.14,66.78,56.82,4.37,81.48,77.93,A,22.8,No,Yes,Unknown,Medium,10,7.9,42.59,Medio,52.5,62.2,3.42
S1014,Liam,Williams,student14@university.com,Male,19,Engineering,72.62,58.31,44.5,54.64,75.53,1.81,56.09,53.85,B,5.8,No,Yes,Unknown,Low,4,8.8,40.86,Medio,-13.81,51.09,9.28
S1015,Ahmed,Jones,student15@university.com,Male,18,Cs,86.72,63.93,91.07,81.0,66.88,6.14,77.57,52.37,A,25.3,No,Yes,Unknown,High,2,8.6,20.04,Bajo,27.14,71.71,2.07
S1016,Maria,Jones,student16@university.com,Female,21,Cs,75.05,90.11,56.81,67.34,67.59,8.48,63.16,73.21,F,29.7,No,Yes,Unknown,Low,3,6.1,16.29,Bajo,-33.3,70.72,2.46
S1017,Liam,Davis,student17@university.com,Female,23,Business,80.22,63.42,76.6,81.46,82.25,7.65,64.18,55.25,F,6.2,No,No,Phd,Medium,10,7.6,49.8,Medio,13.18,76.1,8.91
S1018,Liam,Jones,student18@university.com,Male,20,Cs,65.14,40.68,42.28,50.34,94.28,9.44,56.29,65.33,B,17.4,No,Yes,Unknown,Medium,9,4.8,54.07,Medio,1.6,73.83,3.75
S1019,John,Johnson,student19@university.com,Male,20,Engineering,60.02,61.14,86.27,99.1,77.93,9.72,67.91,66.94,D,23.5,Yes,Yes,Phd,Low,10,4.4,48.9,Medio,25.13,85.54,2.85
S1020,Emma,Davis,student20@university.com,Male,18,Cs,77.13,69.94,46.7,74.81,84.38,7.72,74.07,88.47,D,16.9,No,Yes,High School,Medium,2,8.1,25.79,Bajo,-23.24,77.61,5.23
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,72.01,96.94,64.64,82.97,83.0,2.87,80.02,66.63,C,19.8,No,Yes,Unknown,Low,8,7.5,31.37,Medio,-32.3,68.67,3.37
S1022,Sara,Davis,student22@university.com,Male,22,Engineering,69.51,96.46,89.05,85.79,77.56,2.19,65.24,74.72,C,28.0,Yes,Yes,Unknown,Low,10,8.5,32.73,Medio,-7.41,62.62,2.67
S1023,Liam,Williams,student23@university.com,Female,23,Cs,83.63,50.85,81.72,58.58,65.54,4.48,89.61,88.63,D,18.5,No,Yes,Master'S,Low,1,8.6,26.22,Bajo,30.87,64.63,4.79
S1024,Maria,Williams,student24@university.com,Female,20,Cs,84.53,51.11,40.36,55.59,68.89,9.94,76.05,60.24,A,10.9,Yes,Yes,High School,Low,4,5.7,36.3,Medio,-10.75,74.98,5.53
S1025,Emma,Davis,student25@university.com,Male,18,Business,52.3,49.8,64.18,57.63,65.79,4.13,81.9,90.24,C,23.5,No,Yes,High School,High,3,5.6,39.45,Medio,14.38,61.66,3.84
S1026,Emma,Johnson,student26@university.com,Male,18,Engineering,66.94,87.34,42.52,62.34,95.87,1.99,63.91,91.59,A,14.4,No,Yes,Unknown,Low,10,6.2,43.17,Medio,-44.82,60.5,6.36
S1027,Sara,Johnson,student27@university.com,Male,18,Business,70.59,40.36,80.41,58.41,91.33,9.44,90.71,99.44,D,12.1,Yes,Yes,Unknown,Medium,2,7.3,39.36,Medio,40.05,83.71,8.22
S1028,Liam,Davis,student28@university.com,Female,21,Business,54.84,47.63,98.14,83.7,78.97,3.86,81.21,72.2,D,11.2,Yes,Yes,Bachelor'S,Low,3,4.0,45.36,Medio,50.51,70.62,6.45
S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,61.8,72.28,79.32,71.04,95.61,6.91,93.12,68.53,A,7.0,No,Yes,Master'S,High,3,6.7,37.63,Medio,7.04,82.22,9.79
S1030,Ahmed,Brown,student30@university.com,Female,22,Cs,52.58,54.85,53.46,76.89,94.32,7.88,58.0,85.1,F,28.3,No,Yes,High School,Medium,9,4.1,48.77,Medio,-1.39,77.0,3.01
S1031,Ali,Johnson,student31@university.com,Male,22,Mathematics,99.81,45.54,61.31,52.37,96.38,8.43,69.03,52.91,B,19.1,No,Yes,Bachelor'S,Low,3,6.3,26.3,Bajo,15.77,75.52,2.77
S1032,Maria,Smith,student32@university.com,Female,21,Cs,75.725,61.59,98.6,93.06,61.09,8.21,55.65,51.99,D,28.9,No,Yes,Unknown,Medium,9,4.4,38.35,Medio,37.01,72.97,1.8
S1033,Sara,Williams,student33@university.com,Male,19,Cs,54.37,56.45,53.44,58.53,85.88,8.36,60.78,66.75,D,26.5,No,Yes,Master'S,Low,4,6.8,37.45,Medio,-3.01,72.2,2.52
S1034,Emma,Davis,student34@university.com,Female,21,Business,51.01,70.67,73.69,68.01,80.46,6.68,69.73,86.48,F,5.8,No,Yes,Master'S,Low,1,5.6,38.05,Medio,3.02,71.25,14.91
S1035,Ahmed,Smith,student35@university.com,Female,23,Cs,85.96,98.75,64.03,53.6,86.69,4.04,94.73,55.82,A,11.2,No,Yes,Unknown,Medium,8,6.4,30.24,Medio,-34.72,68.86,4.98
S1036,Maria,Davis,student36@university.com,Female,18,Cs,71.96,47.46,86.1,56.84,63.17,6.67,77.85,81.78,F,12.9,No,Yes,Bachelor'S,Low,10,8.8,54.13,Medio,38.64,66.14,6.34
S1037,Ali,Williams,student37@university.com,Male,21,Cs,89.34,62.36,92.04,83.29,84.74,8.37,66.52,63.48,A,17.2,No,Yes,Unknown,Low,5,5.7,30.31,Medio,29.68,79.56,3.69
S1038,Ali,Williams,student38@university.com,Male,18,Engineering,96.17,95.92,60.45,84.63,70.49,3.51,87.34,82.58,A,22.9,Yes,Yes,Master'S,Medium,2,7.6,8.34,Bajo,-35.47,69.39,3.61
S1039,John,Johnson,student39@university.com,Female,23,Engineering,79.97,92.61,79.62,83.85,91.7,2.97,50.98,72.85,A,22.0,No,Yes,Bachelor'S,Low,9,7.4,31.01,Medio,-12.99,64.06,3.31
S1040,John,Johnson,student40@university.com,Male,24,Business,59.36,63.66,72.94,77.61,89.77,3.44,68.5,55.76,C,29.7,No,Yes,Phd,Low,7,8.3,38.61,Medio,9.28,67.57,1.88
S1041,Omar,Smith,student41@university.com,Male,23,Business,89.11,81.94,56.71,97.63,60.57,5.51,80.04,62.36,A,28.1,No,Yes,Bachelor'S,Medium,6,5.7,21.29,Bajo,-25.23,73.33,2.22
S1042,Sara,Davis,student42@university.com,Male,20,Engineering,97.79,45.27,56.32,75.36,59.19,0.52,79.16,60.99,A,9.7,No,Yes,Bachelor'S,Low,2,4.3,29.56,Bajo,11.05,54.73,6.29
S1043,Liam,Williams,student43@university.com,Male,18,Cs,79.01,82.75,72.32,72.47,85.89,7.79,80.38,58.23,A,26.5,Yes,Yes,Bachelor'S,High,6,8.9,25.38,Bajo,-10.43,79.16,2.2
S1044,Maria,Smith,student44@university.com,Male,22,Mathematics,84.1,98.37,49.24,62.38,77.52,1.39,60.58,73.42,D,26.1,Yes,Yes,Master'S,Medium,7,5.8,21.34,Bajo,-49.13,53.6,2.81
S1045,Maria,Brown,student45@university.com,Male,21,Cs,66.87,72.25,88.65,54.94,77.86,1.33,66.85,97.73,C,19.4,No,Yes,Unknown,Low,5,5.0,34.11,Medio,16.4,53.24,5.04
S1046,Liam,Smith,student46@university.com,Male,24,Cs,75.725,69.91,44.14,77.41,87.63,1.98,96.58,82.9,C,13.5,No,Yes,Master'S,Low,5,8.6,34.66,Medio,-25.77,70.36,6.14
S1047,Omar,Jones,student47@university.com,Female,23,Cs,86.73,51.24,45.67,65.74,92.75,5.77,98.7,91.8,A,10.2,No,Yes,Master'S,High,4,5.0,35.84,Medio,-5.57,78.72,9.0
S1048,Emma,Smith,student48@university.com,Male,18,Engineering,96.39,78.03,60.53,76.2,61.95,2.86,65.6,99.05,B,10.3,No,Yes,Master'S,Medium,10,6.6,37.7,Medio,-17.5,58.09,9.62
S1049,Emma,Jones,student49@university.com,Male,24,Cs,81.45,75.43,47.09,60.31,77.78,3.68,82.23,77.03,B,13.4,No,Yes,Master'S,Low,1,7.8,22.16,Bajo,-28.34,64.28,5.75
S1050,Omar,Jones,student50@university.com,Female,19,Cs,89.49,79.12,68.54,91.91,91.45,9.32,62.06,61.9,A,17.6,No,Yes,Unknown,Low,10,7.7,36.14,Medio,-10.58,84.66,3.52
S1051,Emma,Jones,student51@university.com,Female,20,Cs,58.58,41.56,63.98,99.98,93.64,8.47,68.43,96.39,D,19.6,Yes,Yes,Phd,Medium,7,4.1,50.56,Medio,22.42,86.69,4.92
S1052,John,Brown,student52@university.com,Female,19,Cs,60.6,72.92,83.31,66.12,64.37,8.52,89.62,84.95,B,13.1,No,Yes,Unknown,Low,3,5.0,34.81,Medio,10.39,76.33,6.48
S1053,Maria,Smith,student53@university.com,Female,23,Engineering,76.6,75.7,97.18,92.12,55.21,5.78,75.06,97.95,C,13.9,No,Yes,High School,Medium,5,8.4,32.42,Medio,21.48,70.05,7.05
S1054,Omar,Smith,student54@university.com,Male,19,Business,75.725,52.45,85.21,93.65,61.64,8.66,92.48,82.55,B,5.3,No,Yes,High School,Medium,8,6.8,50.67,Medio,32.76,83.59,15.58
S1055,Maria,Brown,student55@university.com,Female,19,Business,81.75,52.5,50.77,74.81,97.27,7.79,81.44,88.76,A,5.1,No,Yes,Unknown,Medium,2,7.4,35.31,Medio,-1.73,82.85,17.4
S1056,Liam,Williams,student56@university.com,Female,20,Cs,64.58,56.57,96.13,67.14,73.12,9.53,81.45,94.53,F,27.7,No,Yes,Bachelor'S,Low,4,6.0,33.24,Medio,39.56,79.25,3.41
S1057,Ali,Johnson,student57@university.com,Male,20,Cs,89.58,82.7,63.53,87.8,70.93,0.64,51.69,87.96,A,5.4,Yes,Yes,Unknown,Low,9,7.7,38.91,Medio,-19.17,54.21,16.29
S1058,John,Smith,student58@university.com,Male,20,Mathematics,90.41,76.38,68.45,61.44,50.65,0.29,87.48,78.13,B,5.8,Yes,Yes,Unknown,High,2,5.4,24.76,Bajo,-7.93,50.62,13.47
S1059,Ahmed,Johnson,student59@university.com,Male,24,Cs,73.19,90.75,65.29,81.24,52.55,1.75,98.89,73.6,F,10.1,No,No,Master'S,Medium,8,5.2,37.66,Medio,-25.46,62.54,7.29
S1060,John,Davis,student60@university.com,Female,20,Business,59.04,57.74,56.83,85.24,83.43,9.29,73.65,91.17,D,23.6,No,Yes,Unknown,Low,9,9.0,47.99,Medio,-0.91,83.8,3.86
S1061,Omar,Davis,student61@university.com,Male,19,Cs,82.34,94.72,93.7,74.81,79.49,6.06,57.93,88.6,B,22.0,No,Yes,Unknown,Low,3,4.8,16.21,Bajo,-1.02,68.21,4.03
S1062,Ahmed,Brown,student62@university.com,Female,22,Mathematics,99.64,84.62,59.93,60.36,78.78,4.26,98.85,68.32,A,21.2,Yes,Yes,Phd,Medium,5,8.9,18.03,Bajo,-24.69,70.15,3.22
S1063,Ali,Davis,student63@university.com,Male,22,Cs,81.13,63.7,74.72,92.44,55.52,5.13,64.51,74.92,F,19.4,No,Yes,Bachelor'S,Medium,4,8.6,29.46,Bajo,11.02,65.94,3.86
S1064,Omar,Davis,student64@university.com,Male,20,Engineering,51.79,45.72,54.4,71.05,67.6,8.3,70.46,81.75,C,10.0,No,Yes,Master'S,Low,10,7.6,63.16,Alto,8.68,73.03,8.18
S1065,Sara,Williams,student65@university.com,Female,24,Business,50.86,55.42,87.84,60.82,90.62,9.29,53.87,51.42,F,14.9,No,No,Master'S,High,10,6.9,58.12,Alto,32.42,74.55,3.45
S1066,Maria,Williams,student66@university.com,Male,21,Engineering,66.02,97.41,86.45,77.13,58.75,7.3,55.54,62.38,A,17.0,No,Yes,Bachelor'S,Low,8,4.0,34.73,Medio,-10.96,66.1,3.67
S1067,Ali,Williams,student67@university.com,Male,18,Cs,59.79,58.62,57.78,93.17,94.13,7.6,60.83,62.51,D,19.6,No,Yes,Phd,Low,8,7.2,47.24,Medio,-0.84,81.03,3.19
S1068,Maria,Davis,student68@university.com,Male,23,Engineering,90.65,59.79,80.89,98.35,56.07,3.2,77.42,94.16,A,10.0,No,Yes,Phd,Low,5,7.9,34.22,Medio,21.1,65.96,9.42
S1069,Emma,Brown,student69@university.com,Male,24,Business,92.24,51.38,82.23,87.41,58.46,4.67,77.89,66.57,A,23.2,No,Yes,Unknown,High,5,7.7,29.59,Bajo,30.85,67.61,2.87
S1070,Sara,Jones,student70@university.com,Male,21,Cs,62.93,88.41,73.75,50.28,73.89,8.85,80.31,77.26,B,12.7,No,Yes,High School,High,1,4.9,25.1,Bajo,-14.66,73.24,6.08
S1071,Sara,Jones,student71@university.com,Female,23,Cs,66.28,56.54,76.04,56.74,97.26,7.86,79.19,91.58,C,21.5,No,Yes,High School,Low,5,6.7,37.98,Medio,19.5,77.95,4.26
S1072,Ali,Johnson,student72@university.com,Female,21,Engineering,61.81,59.82,74.47,53.81,66.48,6.84,74.76,62.98,B,17.8,Yes,No,Phd,Low,1,6.8,31.52,Medio,14.65,65.86,3.54
S1073,Sara,Jones,student73@university.com,Male,21,Cs,95.42,64.86,44.91,55.06,82.91,0.65,90.1,56.19,A,19.8,Yes,Yes,Bachelor'S,High,4,7.3,23.91,Bajo,-19.95,58.64,2.84
S1074,Ahmed,Jones,student74@university.com,Female,22,Engineering,75.13,66.02,80.22,69.15,79.43,0.4,96.69,97.42,A,15.3,No,Yes,Unknown,Low,7,8.2,39.58,Medio,14.2,62.32,6.37
S1075,Sara,Williams,student75@university.com,Female,18,Cs,82.81,64.68,68.19,66.92,57.48,1.3,63.49,85.23,F,16.1,No,Yes,High School,Low,2,7.5,25.78,Bajo,3.51,50.22,5.29
S1076,Maria,Williams,student76@university.com,Female,21,Engineering,70.77,70.22,66.31,74.81,62.41,5.81,56.51,58.85,A,26.7,No,Yes,Unknown,High,1,4.7,20.81,Bajo,-3.91,62.96,2.2
S1077,Maria,Davis,student77@university.com,Male,20,Cs,81.55,88.87,91.6,94.11,96.51,5.36,71.25,90.99,D,16.9,Yes,Yes,Bachelor'S,High,2,4.1,18.57,Bajo,2.73,78.87,5.38
S1078,Omar,Johnson,student78@university.com,Male,23,Engineering,69.29,89.16,41.39,80.77,59.24,9.43,51.32,89.36,A,24.8,No,Yes,Master'S,Medium,7,4.7,29.93,Bajo,-47.77,71.41,3.6
S1079,Maria,Smith,student79@university.com,Male,24,Cs,66.98,87.9,55.08,74.81,84.75,6.95,94.17,91.88,A,14.9,No,Yes,Bachelor'S,Low,3,4.2,27.18,Bajo,-32.82,80.81,6.17
S1080,Omar,Johnson,student80@university.com,Female,22,Cs,81.72,46.07,47.28,74.81,98.23,2.94,61.99,63.81,A,22.5,Yes,Yes,Unknown,High,5,6.2,35.22,Medio,1.21,66.11,2.84
S1081,Maria,Johnson,student81@university.com,Female,23,Cs,75.725,87.98,42.12,70.51,55.98,1.61,77.46,72.43,D,10.8,No,Yes,Master'S,Low,1,5.4,21.7,Bajo,-45.86,55.01,6.71
S1082,Ahmed,Brown,student82@university.com,Male,20,Mathematics,75.725,47.22,56.54,65.88,69.96,8.5,55.75,84.68,A,27.9,No,Yes,Unknown,Low,10,4.0,45.38,Medio,9.32,69.15,3.04
S1083,Liam,Davis,student83@university.com,Male,20,Cs,57.47,47.48,99.31,71.92,61.2,4.6,77.66,69.53,D,29.2,No,Yes,Master'S,Medium,10,4.4,51.04,Medio,51.83,64.19,2.38
S1084,Omar,Brown,student84@university.com,Female,21,Business,68.43,96.87,56.21,80.52,61.08,6.53,51.95,53.5,F,27.5,Yes,Yes,Unknown,High,10,6.0,33.24,Medio,-40.66,64.71,1.95
S1085,John,Johnson,student85@university.com,Female,20,Cs,70.76,89.16,79.82,74.65,55.95,5.65,88.44,56.82,C,13.7,No,Yes,Unknown,Low,8,8.7,37.19,Medio,-9.34,68.89,4.15
S1086,Emma,Johnson,student86@university.com,Male,18,Cs,81.43,73.14,47.1,91.9,82.48,1.07,97.77,79.86,C,11.9,No,Yes,Master'S,Medium,4,9.0,30.27,Medio,-26.04,70.71,6.71
S1087,Ali,Johnson,student87@university.com,Female,20,Engineering,95.73,92.5,76.11,95.01,87.32,0.57,65.35,68.76,B,9.6,Yes,Yes,Phd,Medium,10,4.3,33.94,Medio,-16.39,63.34,7.16
S1088,Maria,Jones,student88@university.com,Female,21,Engineering,75.725,99.36,99.07,73.48,83.84,3.77,62.91,50.27,C,26.8,No,Yes,Phd,High,2,8.2,12.51,Bajo,-0.29,64.48,1.88
S1089,Sara,Brown,student89@university.com,Female,23,Mathematics,75.725,76.64,57.51,61.99,96.23,3.62,72.4,88.34,F,8.0,No,Yes,Bachelor'S,Medium,8,6.4,42.06,Medio,-19.13,66.71,11.04
S1090,Liam,Johnson,student90@university.com,Female,20,Mathematics,59.69,76.77,90.88,97.26,57.28,6.74,81.0,70.84,C,21.1,No,Yes,Phd,Medium,10,7.1,45.53,Medio,14.11,75.74,3.36
S1091,Maria,Williams,student91@university.com,Female,22,Business,75.11,85.27,99.85,86.75,65.99,6.32,59.45,65.69,B,13.3,No,Yes,Bachelor'S,Medium,5,6.5,30.37,Medio,14.58,68.85,4.94
S1092,Sara,Davis,student92@university.com,Female,24,Engineering,71.49,53.93,75.31,82.01,67.23,9.69,90.17,85.68,D,9.7,No,Yes,Phd,Medium,2,8.6,36.17,Medio,21.38,84.08,8.83
S1093,Emma,Davis,student93@university.com,Female,22,Engineering,86.45,50.03,58.56,87.27,61.6,8.58,59.93,72.76,A,9.6,No,Yes,High School,Low,9,6.4,47.71,Medio,8.53,73.65,7.58
S1094,Emma,Williams,student94@university.com,Male,22,Cs,75.725,85.57,80.41,74.81,57.11,4.97,50.27,84.74,F,26.8,No,Yes,High School,High,6,4.8,25.54,Bajo,-5.16,57.97,3.16
S1095,Emma,Davis,student95@university.com,Male,23,Mathematics,79.72,60.69,90.69,53.38,74.34,5.0,76.21,50.66,D,26.5,Yes,Yes,High School,Medium,8,7.9,36.2,Medio,30.0,63.48,1.91
S1096,Sara,Jones,student96@university.com,Female,19,Engineering,94.19,48.1,50.28,57.66,91.72,6.74,55.76,50.47,A,11.8,No,Yes,High School,Medium,2,6.6,28.93,Bajo,2.18,68.14,4.28
S1097,Maria,Jones,student97@university.com,Female,24,Engineering,95.53,58.89,67.15,57.37,97.73,1.14,84.91,78.0,A,5.8,Yes,Yes,Unknown,Medium,5,4.6,34.89,Medio,8.26,62.85,13.45
S1098,Emma,Smith,student98@university.com,Female,22,Cs,97.94,61.52,59.15,71.03,56.47,10.0,58.37,99.11,B,26.7,No,Yes,Phd,Low,3,6.3,18.36,Bajo,-2.37,71.47,3.71
S1099,Ahmed,Smith,student99@university.com,Male,22,Cs,88.66,97.91,57.0,57.87,91.16,5.19,90.87,63.62,B,6.4,No,Yes,Master'S,Medium,8,7.4,31.95,Medio,-40.91,72.95,9.94
S1100,Omar,Smith,student100@university.com,Male,19,Mathematics,95.3,81.88,91.65,92.73,91.23,9.1,73.52,84.14,A,7.1,No,No,Master'S,Medium,1,5.5,18.53,Bajo,9.77,87.12,11.85
S1101,Sara,Davis,student101@university.com,Female,23,Cs,61.73,71.85,65.3,78.9,69.45,9.67,78.31,58.61,F,25.5,No,Yes,Master'S,Low,9,8.6,41.87,Medio,-6.55,80.84,2.3
S1102,Sara,Jones,student102@university.com,Male,24,Engineering,59.88,98.13,60.34,68.41,55.5,5.82,59.33,65.58,F,25.4,No,Yes,High School,Low,6,8.2,28.01,Bajo,-37.79,60.36,2.58
S1103,Maria,Jones,student103@university.com,Female,22,Cs,50.32,94.19,76.21,53.48,99.5,1.03,57.33,53.9,D,10.1,No,Yes,Unknown,Medium,1,6.8,29.08,Bajo,-17.98,55.15,5.34
S1104,Sara,Jones,student104@university.com,Female,21,Business,85.34,70.72,53.16,79.55,82.78,5.73,81.56,94.04,A,6.0,No,Yes,Phd,Medium,3,4.3,30.36,Medio,-17.56,75.3,15.67
S1105,Sara,Williams,student105@university.com,Female,23,Cs,96.87,94.34,53.79,55.83,99.11,5.98,62.77,65.52,A,6.6,No,Yes,Unknown,High,8,6.9,30.05,Medio,-40.55,69.38,9.93
S1106,Emma,Jones,student106@university.com,Female,24,Business,59.35,64.26,71.22,87.16,74.18,7.89,69.3,61.52,D,16.3,Yes,Yes,Bachelor'S,Medium,8,6.1,47.36,Medio,6.96,77.39,3.77
S1107,Maria,Williams,student107@university.com,Female,22,Cs,81.85,53.83,64.56,90.14,69.76,0.48,73.97,86.53,F,15.5,No,Yes,High School,Low,3,7.6,31.9,Medio,10.73,59.67,5.58
S1108,Emma,Smith,student108@university.com,Female,22,Business,87.32,53.96,57.7,77.2,62.36,4.66,61.48,59.97,A,9.6,No,Yes,Unknown,Low,10,5.3,48.45,Medio,3.74,61.91,6.25
S1109,Omar,Smith,student109@university.com,Female,19,Business,96.38,79.74,43.24,57.48,99.18,9.23,89.77,62.01,B,27.7,Yes,Yes,Unknown,Medium,8,7.0,24.05,Bajo,-36.5,84.68,2.24
S1110,Liam,Davis,student110@university.com,Male,24,Cs,82.34,70.06,71.25,89.34,62.66,9.91,96.97,55.18,F,18.8,Yes,Yes,Unknown,High,6,6.8,31.87,Medio,1.19,87.02,2.94
S1111,Omar,Smith,student111@university.com,Female,21,Engineering,98.51,79.54,89.0,65.39,51.19,1.91,71.59,98.14,B,25.2,No,Yes,Phd,Low,7,6.6,22.39,Bajo,9.46,51.82,3.89
S1112,Liam,Davis,student112@university.com,Male,23,Cs,67.23,81.16,91.08,61.13,75.62,8.71,95.88,62.38,B,7.6,No,Yes,Bachelor'S,Medium,2,4.6,30.54,Medio,9.92,79.93,8.21
S1113,Emma,Johnson,student113@university.com,Female,20,Cs,67.5,41.34,54.13,73.53,68.85,1.46,94.13,99.78,C,29.3,Yes,Yes,High School,Low,1,6.4,29.32,Bajo,12.79,62.78,3.41
S1114,Omar,Johnson,student114@university.com,Female,18,Business,77.15,43.24,75.98,96.13,63.07,8.41,58.3,58.81,C,25.2,No,Yes,Unknown,Low,1,6.8,27.43,Bajo,32.74,75.4,2.33
S1115,Maria,Brown,student115@university.com,Male,21,Engineering,69.18,71.96,91.35,64.87,81.73,2.77,58.67,51.03,B,12.2,No,Yes,Unknown,Medium,3,8.6,32.54,Medio,19.39,58.24,4.18
S1116,Ali,Davis,student116@university.com,Male,20,Cs,50.07,51.46,64.52,95.28,68.21,9.6,73.87,94.78,D,5.5,Yes,Yes,Master'S,Medium,7,6.3,57.62,Alto,13.06,83.34,17.23
S1117,Emma,Brown,student117@university.com,Female,21,Cs,75.725,77.95,95.93,52.68,70.11,6.95,76.29,79.0,B,9.1,No,Yes,High School,Low,9,7.2,43.34,Medio,17.98,67.14,8.68
S1118,Liam,Brown,student118@university.com,Male,24,Cs,87.59,73.13,94.18,54.18,51.15,3.99,67.06,67.57,B,15.5,No,Yes,High School,High,2,6.8,21.88,Bajo,21.05,53.07,4.36
S1119,Ahmed,Johnson,student119@university.com,Female,20,Business,87.35,75.15,52.49,84.93,79.45,2.81,65.65,75.67,A,5.1,No,Yes,Unknown,Medium,6,5.0,35.44,Medio,-22.66,64.53,14.84
S1120,Liam,Davis,student120@university.com,Female,24,Cs,67.25,58.15,55.54,59.53,56.1,2.35,71.57,63.04,B,6.0,Yes,Yes,Unknown,Medium,8,4.9,51.57,Medio,-2.61,52.68,10.51
S1121,Ahmed,Johnson,student121@university.com,Male,20,Mathematics,76.11,78.39,50.83,65.83,60.69,6.81,84.52,81.74,C,7.5,Yes,Yes,Unknown,Medium,9,7.7,43.87,Medio,-27.56,69.78,10.9
S1122,Sara,Brown,student122@university.com,Male,21,Mathematics,68.0,89.77,51.76,56.82,85.86,8.96,54.22,80.82,B,25.2,No,Yes,Unknown,Low,10,6.6,36.67,Medio,-38.01,71.62,3.21
S1123,Omar,Davis,student123@university.com,Male,19,Cs,50.8,99.88,94.47,66.61,65.66,7.55,85.53,54.01,D,18.7,Yes,Yes,Phd,High,3,8.5,27.35,Bajo,-5.41,73.32,2.89
S1124,Ahmed,Brown,student124@university.com,Male,21,Cs,78.12,90.31,95.87,64.02,58.16,8.35,96.31,95.53,D,9.8,Yes,Yes,Phd,Medium,5,8.5,29.55,Bajo,5.56,75.5,9.75
